"SF","logMstar","logvelDisp_e","logRproj_rvir","TType"
1,10.55,1.99779570523569,0.771793385728501,4.08822870254517
0,10.845,2.13677456068152,0.324776441669797,2.27560710906982
0,10.563,2.2093183967973,0.644867226985853,-2.45127153396606
0,10.874,2.19066911599151,-0.625854379222042,-2.31672382354736
0,10.714,2.09376692339811,-0.731741213837459,0.0278555154800415
0,10.598,2.0704172640111,-0.662272597127837,-1.39518487453461
1,10.801,2.04024691403067,0.144236106255875,4.38753461837769
0,10.513,2.12529681760654,0.657841874372614,-1.68984806537628
0,10.705,2.10073187288961,-0.500992604806135,0.163724064826965
1,10.893,1.99231465853213,-0.12372057560101,4.17943954467773
0,10.659,2.2109442332716,-0.804548237100125,-2.26685810089111
0,10.535,2.12268016961677,-0.33831518663343,-2.19456100463867
0,10.859,2.29305487223529,-0.16585300203285,-1.74234569072723
1,10.776,2.05797280820595,0.122983104350598,0.454288125038147
0,10.657,2.17970994639801,-0.127562853388531,-2.32272529602051
0,10.971,2.30014670260358,-0.208509700136521,-2.04892110824585
0,10.566,2.15913355058668,-0.0662988442285746,-2.16404056549072
1,10.712,1.97876866579001,-0.141675617593346,2.4903028011322
0,10.663,2.10986536546886,-0.123963224833539,1.68512988090515
0,10.947,2.39225687339961,-0.110107606071058,-2.37807559967041
1,10.615,2.10897895898694,-0.147853881050136,1.64018523693085
1,10.864,2.00425250991235,0.128255683789691,4.91048955917358
1,10.736,1.94585067648953,0.45452816003247,3.75626564025879
1,10.911,2.02558267705954,0.423157020401404,2.47369456291199
0,10.866,2.29341404978944,-0.524649535168958,-2.22749853134155
0,10.631,2.26131975351063,0.283677858182373,-2.43696308135986
0,10.61,2.15194897899734,-0.155656859044847,-1.67200934886932
1,10.668,1.89544766375726,0.303249462890823,1.28763425350189
1,10.667,1.85812395075454,-0.328783735061752,4.12434864044189
1,10.606,2.05813760990946,0.247144032279496,2.46871376037598
1,10.922,2.16613215346032,0.954304059887477,2.00030303001404
1,10.581,1.95639994255423,0.093450360671492,3.07237648963928
0,10.706,2.19609302020173,0.0395777031302963,-2.30186223983765
1,10.571,1.9187716163623,0.493812974422584,4.02993679046631
0,10.762,2.21086042061406,0.465227266888088,-1.83367836475372
1,10.559,1.87937776821497,0.904069525747888,3.5227575302124
1,10.747,2.09445537596768,0.822118912776137,2.67121934890747
1,10.589,2.02277348029443,0.713911331435157,3.54716110229492
1,10.514,1.95340125017827,1.01112236754442,4.42769718170166
1,10.671,2.05100051503548,0.515740887591969,1.26653504371643
1,10.727,1.79560984937933,0.614195265226226,2.40543484687805
1,10.807,1.98076373157469,0.625344312099512,4.29265689849854
1,10.557,2.07182761130075,0.656536217374596,-0.0567910671234131
0,10.699,2.24518928435107,-0.359562751891526,-2.32690858840942
0,11.038,2.29599536031057,-0.32844809433553,-2.22771787643433
0,11.058,2.37020975715723,-0.209244213727857,-1.98358571529388
0,10.742,2.11984308088247,-0.303005231200772,-1.08312904834747
0,10.58,2.24798042073888,0.555043362722839,-1.99949729442596
1,11.067,2.31355067747254,-0.182056016250218,-2.32049894332886
0,10.561,2.00637411593886,0.0653100258270197,-1.55837643146515
1,10.509,1.86018111346029,0.176885594647009,3.89764642715454
0,10.77,2.2849187079177,0.121402495485951,-2.3703236579895
0,10.701,2.23298180919632,-0.346511134869402,-1.91765081882477
1,10.63,1.92596133935516,-0.189000691166451,-1.78887784481049
0,11.085,2.30447114424268,-0.724746905257263,-2.26145887374878
0,10.67,2.15283122204611,-0.85031306433175,1.07324862480164
